ms_len	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
5	0.00179801	0.000512401	1	0.000594094	0.001072674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0.000456407	6.89979E-05	0.002942018	0.000149404	0.000324066	0.00352842	0.078337468	1	0.002212189	0.000381892	0.001048228	0.000548328	0.001422092	0.000271963	0.000356269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0.000567321	3.16395E-05	0.002126134	0.00037145	0.000165704	0.000346024	0.000702714	0.003365678	0.001350085	0.005366798	0.03460751	0.207923601	1	0.009555894	0.000430815	0.000264429	0.00023182	0.000479262	0.000212211	0.000202946	0.000218891	0.000254625	0.00025308	0.000188042	0.000242809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0.001645057	4.15406E-05	0.005616428	0.000186764	0.000249243	0.000312059	0.000779811	0.002721412	0.001770015	0.001736926	0.004973684	0.003698456	0.015346088	0.007557945	0.029766382	0.124504567	0.442772296	1	0.028069315	0.00134414	0.000645056	0.000343467	0.00058325	0.000364405	0.000260722	0.000323201	0.00022965	0.00022965	0.000177304	0.000228978	0.000177641	0.000364069	0.000187437	0.000322528	0.00024958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0.000599174	4.09732E-06	0.004611797	0.000272565	0.000435084	0.001007574	0.001590954	0.006748376	0.002791283	0.004313649	0.007917777	0.007552957	0.011112592	0.005756715	0.005934864	0.005579093	0.006944057	0.007015079	0.021039761	0.065702192	0.207536124	0.559199946	1	0.038570005	0.002065164	0.000530701	0.000400519	0.00058065	0.00016289	0.000510393	0.000533233	0.000378117	0.000202031	0.000160778	0.000251773	0.000485575	9.27844E-05	0.000284832	0.000138394	0.000495748	0.000185597	0.000177339	0.000264524	0.000324429	0.000318149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0.084044061	0.002000578	0.036888144	0.001488095	0.00082672	0.006018184	0.003968254	0.005803488	0.004150049	0.005158563	0.011805221	0.010796707	0.017674512	0.010846059	0.01216881	0.017872757	0.010796707	0.011490984	0.013028431	0.009143268	0.013177325	0.01216881	0.029445995	0.049187724	0.141741559	0.398573079	0.817300829	1	0.084321214	0.027544958	0.025593732	0.018517682	0.023543802	0.019493295	0.021014292	0.019724442	0.021196086	0.02256819	0.013326218	0.016698899	0.01802165	0.021873913	0.015657483	0.018054552	0.018352338	0.021394332	0.019526196	0.018567034	0.01633531	0.021906814	0.020352916	0.014467174	0.021245438	0.017509168	0.0208983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
